FID_1,STATE,COUNTY,AREA,ACRES,Area_Type,_ZONE_NUMB,_HOUSEHOLD,AVERAGE_WO,AVERAGE_PE,AVERAGE_AU,TOTAL_EMPL,LAND_AREA_,POP_DENSIT,EMP_DENSIT,URBAN_AREA,TOTAL_AUTO,TAZ_LOCATI,_PERC_EMPL,PERC_EMPL_,PERC_EMPL1,TAZ_N,2010POP,MLU2010,MLU2020,EMP2010,Count_,Sum_CarbEM,Avg_CarbEM,Sum_TRIPDI,Avg_TRIPDI,Sum_TRIPSP,Avg_TRIPSP,Sum_TRIPDU,Avg_TRIPDU,CarEMTAZ,HH2010
39,39,061,5502331.48900000000,126.31600000000,2,50,127.00,1.73,3.22,2.57,4.00,126.00,3.20,0.00,0.00,326.00,1.00,0.00,1.00,0.00,50,404,0.00000000000,0.00000000000,0,2,0.00630592,0.00315296,13.96912088,6.98456044,53.21766483,26.60883242,1500.72000000,750.36000000,0.31500000000,100
40,39,061,30527348.73600000000,700.81100000000,2,49,592.00,1.45,3.04,2.34,404.00,700.00,2.50,0.50,0.00,1385.00,1.00,0.40,0.56,0.04,49,1752,0.21093303274,0.00000000000,350,2,0.00421233,0.00210617,8.51254386,4.25627193,40.72689223,20.36344611,1707.04481790,853.52240895,1.67500000000,531
41,39,061,7279783.30100000000,167.12100000000,2,54,191.00,1.45,2.57,1.88,679.00,167.00,2.90,4.00,0.00,360.00,1.00,0.11,0.65,0.24,54,485,0.89677429748,0.00000000000,668,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23300000000,74
42,39,061,11551447.60200000000,265.18500000000,2,51,122.00,1.52,2.70,1.89,1869.00,265.00,1.20,7.00,0.00,230.00,1.00,0.70,0.15,0.15,51,318,0.44998737274,0.00000000000,1856,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.80100000000,254
43,39,061,12823557.13200000000,294.38800000000,2,53,654.00,1.49,2.64,1.89,409.00,294.00,5.80,1.30,0.00,1234.00,1.00,0.09,0.57,0.34,53,1707,0.23386879313,0.00000000000,383,3,0.01305702,0.00435234,26.24750705,8.74916902,67.52877741,22.50959247,2769.84995650,923.28331883,1.25500000000,398
44,39,061,18785442.70800000000,431.25400000000,2,55,915.00,1.22,2.42,1.64,524.00,431.00,5.10,1.20,0.00,1499.00,1.00,0.06,0.55,0.39,55,2199,0.24411015909,0.00000000000,518,4,0.00925399,0.00231350,16.63689695,4.15922424,74.03204996,18.50801249,3584.04355040,896.01088760,2.10100000000,666
45,39,061,33042525.73900000000,758.55200000000,2,56,694.00,1.48,2.99,1.77,239.00,758.00,2.70,0.30,0.00,1228.00,2.00,0.14,0.86,0.00,56,2048,0.12330552253,0.00000000000,228,1,0.00228654,0.00228654,4.72516129,4.72516129,22.87967742,22.87967742,608.92857140,608.92857140,3.62500000000,1149
46,39,061,2082316.15100000000,47.80300000000,2,60,17.00,0.99,2.18,1.53,457.00,47.00,0.70,9.50,0.00,26.00,1.00,0.01,0.22,0.77,60,33,0.21931176007,0.00000000000,454,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
47,39,061,2194090.32000000000,50.36900000000,2,61,0.00,0.45,0.00,1.56,1212.00,50.00,0.00,24.00,0.00,0.00,1.00,0.01,0.36,0.64,61,0,0.00000000000,0.00000000000,1209,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
48,39,061,5819389.36700000000,133.59500000000,2,62,235.00,1.31,2.89,1.56,598.00,133.00,5.00,4.40,0.00,366.00,1.00,0.04,0.46,0.50,62,668,0.68377690453,0.00000000000,588,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59000000000,187
49,39,061,20859036.56900000000,478.85800000000,2,52,520.00,1.46,2.98,2.25,198.00,478.00,3.20,0.40,0.00,1172.00,1.00,0.01,0.62,0.37,52,1532,0.13774199547,0.00000000000,192,2,0.00690848,0.00345424,17.56565789,8.78282894,60.43061404,30.21530702,1713.06944400,856.53472200,1.47300000000,467
50,39,061,11545471.19100000000,265.04800000000,2,58,620.00,1.59,2.82,2.08,22.00,265.00,6.60,0.00,0.00,1290.00,1.00,0.27,0.73,0.00,58,1749,0.00000000000,0.00000000000,0,3,0.01116280,0.00372093,23.19443609,7.73147870,70.36610693,23.45536898,2903.70833300,967.90277767,1.67200000000,530
51,39,061,24453495.28300000000,561.37500000000,2,57,1123.00,0.82,1.86,1.29,2536.00,561.00,3.70,4.50,0.00,1450.00,2.00,0.03,0.83,0.14,57,2077,0.83569484950,0.00000000000,2526,1,0.00117910,0.00117910,2.20250000,2.20250000,18.09875000,18.09875000,437.68750000,437.68750000,2.93700000000,931
52,39,061,23538635.21200000000,540.37300000000,2,66,512.00,1.62,2.94,2.27,54.00,540.00,2.70,0.10,0.00,1162.00,1.00,0.09,0.53,0.38,66,1459,0.04275315091,0.00000000000,54,4,0.01308320,0.00327080,29.41594274,7.35398568,99.42312647,24.85578162,3649.33349690,912.33337422,1.97200000000,625
53,39,061,10816013.46000000000,248.30200000000,2,59,255.00,1.08,1.91,2.08,1124.00,248.00,1.90,4.50,0.00,531.00,1.00,0.56,0.36,0.08,59,472,0.83448959200,0.00000000000,1117,1,0.00368269,0.00368269,7.56200000,7.56200000,23.83825000,23.83825000,657.64102560,657.64102560,0.15500000000,49
54,39,061,33613238.90700000000,771.65400000000,2,65,1082.00,1.69,2.95,2.36,559.00,771.00,4.10,0.70,0.00,2557.00,1.00,0.02,0.82,0.16,65,3164,0.18301729636,0.00000000000,540,5,0.01127888,0.00225578,21.00747564,4.20149513,102.41171333,20.48234267,3149.66509440,629.93301888,5.03800000000,1597
55,39,061,35606606.48600000000,817.41500000000,2,67,591.00,1.82,2.95,1.76,298.00,817.00,2.10,0.30,0.00,1038.00,1.00,0.06,0.63,0.31,67,1717,0.15534424793,0.00000000000,245,5,0.01600272,0.00320054,36.22706000,7.24541200,125.74743763,25.14948753,4132.15632570,826.43126514,2.02500000000,642
56,39,061,2847747.82800000000,65.37500000000,2,68,399.00,1.08,1.76,1.76,1066.00,65.00,10.70,16.30,0.00,701.00,1.00,0.00,0.24,0.75,68,700,0.94668040212,0.00000000000,1066,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16400000000,52
57,39,061,6132413.92200000000,140.78100000000,2,69,73.00,1.80,3.32,2.44,748.00,140.00,1.70,5.30,0.00,178.00,1.00,0.01,0.66,0.33,69,239,0.70369263406,0.00000000000,746,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.43800000000,139
58,39,061,15681241.81400000000,359.99200000000,2,70,315.00,1.35,3.04,2.12,166.00,359.00,2.60,0.40,0.00,669.00,1.00,0.18,0.16,0.65,70,936,0.16647799161,0.00000000000,144,2,0.00734926,0.00367463,15.75941729,7.87970864,47.25755640,23.62877820,1994.11546870,997.05773435,1.93700000000,614
59,39,061,12106992.42500000000,277.93800000000,2,71,848.00,1.31,2.20,1.60,1350.00,277.00,6.70,4.80,0.00,1359.00,1.00,0.02,0.77,0.20,71,1862,0.59434532551,0.00000000000,1334,2,0.00629483,0.00314741,12.35004274,6.17502137,41.79051282,20.89525641,1924.89176500,962.44588250,1.18300000000,375
60,39,061,7002452.81900000000,160.75400000000,2,63,107.00,1.01,2.23,1.56,1152.00,160.00,1.40,7.10,0.00,167.00,1.00,0.11,0.80,0.09,63,225,0.50089342022,0.00000000000,1141,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15100000000,48
61,39,061,14193843.16500000000,325.84600000000,2,64,324.00,1.67,3.06,2.44,175.00,325.00,3.00,0.50,0.00,792.00,1.00,0.01,0.18,0.81,64,978,0.17910875484,0.00000000000,163,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.75700000000,557
62,39,061,12330451.20000000000,283.06800000000,2,73,659.00,1.44,2.47,1.94,298.00,283.00,5.70,1.00,0.00,1281.00,1.00,0.05,0.67,0.28,73,1613,0.18766160117,0.00000000000,283,1,0.00383298,0.00383298,9.15363636,9.15363636,27.10818182,27.10818182,1379.36363600,1379.36363600,1.53300000000,486
63,39,061,17404228.82600000000,399.54600000000,2,74,339.00,1.46,2.74,2.04,507.00,399.00,2.30,1.20,0.00,693.00,1.00,0.57,0.43,0.00,74,919,0.47049495677,0.00000000000,479,3,0.00631411,0.00210470,12.79255245,4.26418415,67.83480186,22.61160062,1771.52139030,590.50713010,1.36000000000,431
64,39,061,9655672.95300000000,221.66400000000,2,75,567.00,1.41,2.65,2.04,262.00,221.00,6.70,1.10,0.00,1157.00,1.00,0.89,0.11,0.00,75,1485,0.17679980755,0.00000000000,244,2,0.00294477,0.00147239,4.82240166,2.41120083,34.90956522,17.45478261,1048.56250000,524.28125000,1.20200000000,381
65,39,061,11860011.44900000000,272.26800000000,2,76,13.00,0.96,2.15,2.15,2339.00,272.00,0.10,8.50,0.00,28.00,1.00,0.29,0.69,0.02,76,27,0.03877429665,0.00000000000,2314,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03800000000,12
66,39,061,12836752.76100000000,294.69100000000,2,88,53.00,1.07,1.68,1.47,1428.00,294.00,0.30,4.80,0.00,78.00,1.00,0.64,0.32,0.04,88,88,0.19066110047,0.00000000000,1415,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08800000000,28
67,39,061,10780523.33500000000,247.48700000000,2,87,235.00,0.95,1.49,1.48,4694.00,247.00,1.40,18.90,0.00,347.00,1.00,0.56,0.41,0.02,87,346,0.22273297015,0.00000000000,4678,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29700000000,94
68,39,061,19435319.45300000000,446.17400000000,2,77,404.00,0.98,2.00,1.55,1729.00,446.00,1.80,3.80,0.00,625.00,1.00,0.29,0.63,0.09,77,803,0.89056275370,0.00000000000,1695,3,0.00643302,0.00214434,13.70089076,4.56696359,67.37504202,22.45834734,1980.71428570,660.23809523,2.14200000000,679
69,39,061,15773663.83800000000,362.11300000000,2,78,495.00,1.05,2.15,1.55,637.00,362.00,2.90,1.70,0.00,766.00,1.00,0.04,0.23,0.73,78,1050,0.51437923778,0.00000000000,616,1,0.00282749,0.00282749,6.85916667,6.85916667,26.95208333,26.95208333,821.54545450,821.54545450,1.53600000000,487
70,39,061,9273104.58200000000,212.88100000000,2,86,106.00,1.42,2.70,1.93,609.00,212.00,1.30,2.80,0.00,205.00,1.00,0.55,0.43,0.03,86,277,0.88111762082,0.00000000000,596,1,0.00174829,0.00174829,3.38041667,3.38041667,20.68083333,20.68083333,489.76190480,489.76190480,0.64400000000,204
71,39,061,20897966.29700000000,479.75100000000,2,81,440.00,1.07,1.70,1.44,13.00,479.00,1.50,0.00,0.00,633.00,1.00,0.08,0.92,0.00,81,720,0.00000000000,0.00000000000,0,1,0.00494916,0.00494916,12.44162791,12.44162791,34.77558140,34.77558140,1035.02439000,1035.02439000,1.16100000000,368
72,39,061,5610534.89000000000,128.80000000000,2,80,429.00,1.09,1.73,1.44,827.00,128.00,5.70,6.40,0.00,617.00,1.00,0.10,0.77,0.13,80,734,0.79702485325,0.00000000000,824,2,0.00508234,0.00254117,10.39614379,5.19807190,43.76787582,21.88393791,1458.99391480,729.49695740,1.10100000000,349
73,39,061,17614319.73500000000,404.36900000000,2,79,463.00,0.58,1.56,1.21,1673.00,404.00,1.70,4.10,0.00,561.00,2.00,0.21,0.68,0.11,79,687,0.82496883120,0.00000000000,1658,5,0.01589535,0.00317907,27.64961111,5.52992222,95.16031746,19.03206349,4263.62099070,852.72419814,0.74100000000,235
74,39,061,29375620.36200000000,674.37100000000,2,82,248.00,1.08,1.71,1.44,2735.00,674.00,0.60,4.00,0.00,357.00,1.00,0.42,0.49,0.09,82,405,0.40566653425,0.00000000000,2697,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75100000000,238
75,39,061,3671212.48500000000,84.27900000000,2,72,10.00,0.85,2.40,2.20,3516.00,84.00,0.20,41.70,0.00,22.00,1.00,0.00,1.00,0.00,72,17,0.01626101444,0.00000000000,3514,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08200000000,26
76,39,061,33222144.08600000000,762.67500000000,2,96,882.00,1.29,2.50,1.79,604.00,762.00,2.80,0.70,0.00,1575.00,1.00,0.01,0.97,0.02,96,2135,0.25725368682,0.00000000000,534,6,0.01414966,0.00235828,30.70219170,5.11703195,147.18904850,24.53150808,4042.62606530,673.77101088,3.76000000000,1192
77,39,061,28267433.45500000000,648.93100000000,2,97,934.00,1.25,2.68,2.28,586.00,648.00,3.80,0.90,0.00,2133.00,1.00,0.02,0.81,0.18,97,2466,0.24525498792,0.00000000000,584,7,0.02053973,0.00293425,42.27458530,6.03922647,156.27445524,22.32492218,5697.31836740,813.90262391,3.54600000000,1124
